	artist_name	track_name	uri	0	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	track_href	analysis_url	duration_ms	time_signature
5195	Kap G	Girlfriend	spotify:track:0wJIFdZTLwl4ZQ6RNLOxQN	1	0.876	0.658	6	-3.119	0	0.106	0.12	0.0	0.107	0.407	159.986	audio_features	0wJIFdZTLwl4ZQ6RNLOxQN	https://api.spotify.com/v1/tracks/0wJIFdZTLwl4ZQ6RNLOxQN	https://api.spotify.com/v1/audio-analysis/0wJIFdZTLwl4ZQ6RNLOxQN	198716	4
5196	Kap G	Girlfriend (feat. Ty Dolla $ign & Quavo) - Remix	spotify:track:72wk71G3cneNGaRSuYBnQM	2	0.856	0.659	2	-5.16	1	0.129	0.192	0.0	0.0894	0.371	159.973	audio_features	72wk71G3cneNGaRSuYBnQM	https://api.spotify.com/v1/tracks/72wk71G3cneNGaRSuYBnQM	https://api.spotify.com/v1/audio-analysis/72wk71G3cneNGaRSuYBnQM	275598	4
5197	Kap G	I See You (feat. Chris Brown)	spotify:track:2FtODdMaymGKIEwO7zOGM1	1	0.716	0.48	9	-7.723	1	0.142	0.0832	0.0	0.233	0.5	101.192	audio_features	2FtODdMaymGKIEwO7zOGM1	https://api.spotify.com/v1/tracks/2FtODdMaymGKIEwO7zOGM1	https://api.spotify.com/v1/audio-analysis/2FtODdMaymGKIEwO7zOGM1	167262	4
5198	Karaoke High School Musical	Breaking Free - Instrumental	spotify:track:7gEtGimCKSALyh1OKV58vB	1	0.571	0.727	0	-9.205	0	0.0313	0.000195	0.868	0.333	0.218	107.995	audio_features	7gEtGimCKSALyh1OKV58vB	https://api.spotify.com/v1/tracks/7gEtGimCKSALyh1OKV58vB	https://api.spotify.com/v1/audio-analysis/7gEtGimCKSALyh1OKV58vB	222147	4
5199	Kardinal Offishall	Dangerous	spotify:track:4NOZ35Dhucr6UlVyLOtktd	40	0.949	0.79	8	-5.957	1	0.0756	0.00437	0.0	0.0816	0.807	117.002	audio_features	4NOZ35Dhucr6UlVyLOtktd	https://api.spotify.com/v1/tracks/4NOZ35Dhucr6UlVyLOtktd	https://api.spotify.com/v1/audio-analysis/4NOZ35Dhucr6UlVyLOtktd	246053	4
5200	Karen Harding	Say Something - Zac Samuel Remix	spotify:track:5QifrqmnjHzdOuBAheeeNU	1	0.701	0.667	7	-6.177	1	0.0361	0.0121	6.53e-06	0.148	0.675	119.975	audio_features	5QifrqmnjHzdOuBAheeeNU	https://api.spotify.com/v1/tracks/5QifrqmnjHzdOuBAheeeNU	https://api.spotify.com/v1/audio-analysis/5QifrqmnjHzdOuBAheeeNU	213135	4
5201	Karencitta	Cebuana	spotify:track:5JdgWizARB8aeeQwbT38wt	1	0.832	0.791	0	-7.442	0	0.192	0.469	2.16e-06	0.11	0.507	98.053	audio_features	5JdgWizARB8aeeQwbT38wt	https://api.spotify.com/v1/tracks/5JdgWizARB8aeeQwbT38wt	https://api.spotify.com/v1/audio-analysis/5JdgWizARB8aeeQwbT38wt	210874	4
5202	Kari Faux	Chattin' shit	spotify:track:7DANfQo8LxOwsipkGRqY7I	2	0.852	0.629	8	-7.28	1	0.186	0.019	0.000184	0.215	0.931	92.503	audio_features	7DANfQo8LxOwsipkGRqY7I	https://api.spotify.com/v1/tracks/7DANfQo8LxOwsipkGRqY7I	https://api.spotify.com/v1/audio-analysis/7DANfQo8LxOwsipkGRqY7I	131217	4
5203	Kari Faux	Freakin' n' ballin'	spotify:track:48jyNkcVFycN7nJw91O41h	1	0.868	0.707	7	-4.445	0	0.0774	0.195	0.0151	0.13	0.696	94.997	audio_features	48jyNkcVFycN7nJw91O41h	https://api.spotify.com/v1/tracks/48jyNkcVFycN7nJw91O41h	https://api.spotify.com/v1/audio-analysis/48jyNkcVFycN7nJw91O41h	134045	4
5204	Kari Faux	ME FIRST	spotify:track:0MqAcZlEeS5q152ehuFDTr	1	0.764	0.666	1	-6.918	1	0.0562	0.123	9.99e-05	0.0695	0.786	84.983	audio_features	0MqAcZlEeS5q152ehuFDTr	https://api.spotify.com/v1/tracks/0MqAcZlEeS5q152ehuFDTr	https://api.spotify.com/v1/audio-analysis/0MqAcZlEeS5q152ehuFDTr	153213	4
