	artist_name	track_name	uri	plays	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	track_href	analysis_url	duration_ms	time_signature	0_y	User
3688	Internet Money	Lemonade (feat. NAV)	spotify:track:1p0rEzrK7YtdRZVtiyV7RN	3	0.8	0.658	1.0	-6.142	0.0	0.079	0.25	0.0	0.111	0.462	140.042	audio_features	1p0rEzrK7YtdRZVtiyV7RN	https://api.spotify.com/v1/tracks/1p0rEzrK7YtdRZVtiyV7RN	https://api.spotify.com/v1/audio-analysis/1p0rEzrK7YtdRZVtiyV7RN	195429.0	4.0		Sean
3689	Internet Money	Lemonade (feat. NAV)	spotify:track:1p0rEzrK7YtdRZVtiyV7RN	3	0.8	0.658	1.0	-6.142	0.0	0.079	0.25	0.0	0.111	0.462	140.042	audio_features	1p0rEzrK7YtdRZVtiyV7RN	https://api.spotify.com/v1/tracks/1p0rEzrK7YtdRZVtiyV7RN	https://api.spotify.com/v1/audio-analysis/1p0rEzrK7YtdRZVtiyV7RN	195429.0	4.0		Sean
3690	Internet Money	Lost Me (feat. Lil Mosey, iann dior & Lil Skies)	spotify:track:4nTIY6vSiw19IzzPKKqCU9	1	0.694	0.697	8.0	-7.373	0.0	0.0379	0.162	0.0	0.0821	0.379	89.966	audio_features	4nTIY6vSiw19IzzPKKqCU9	https://api.spotify.com/v1/tracks/4nTIY6vSiw19IzzPKKqCU9	https://api.spotify.com/v1/audio-analysis/4nTIY6vSiw19IzzPKKqCU9	178329.0	4.0		Sean
3691	Internet Money	Somebody	spotify:track:735RSTb2xbtWbDtKD9XDYi	1	0.63	0.671	6.0	-6.659	0.0	0.256	0.363	0.0	0.113	0.333	89.921	audio_features	735RSTb2xbtWbDtKD9XDYi	https://api.spotify.com/v1/tracks/735RSTb2xbtWbDtKD9XDYi	https://api.spotify.com/v1/audio-analysis/735RSTb2xbtWbDtKD9XDYi	174333.0	4.0		Sean
3692	Internet Money	Thrusting (feat. Swae Lee & Future)	spotify:track:136cNclvh1Gm1WSK34PyBz	2	0.691	0.578	7.0	-5.431	0.0	0.358	0.332	0.0	0.0857	0.567	193.798	audio_features	136cNclvh1Gm1WSK34PyBz	https://api.spotify.com/v1/tracks/136cNclvh1Gm1WSK34PyBz	https://api.spotify.com/v1/audio-analysis/136cNclvh1Gm1WSK34PyBz	222680.0	4.0		Sean
3693	Internet Money	Thrusting (feat. Swae Lee & Future)	spotify:track:136cNclvh1Gm1WSK34PyBz	2	0.691	0.578	7.0	-5.431	0.0	0.358	0.332	0.0	0.0857	0.567	193.798	audio_features	136cNclvh1Gm1WSK34PyBz	https://api.spotify.com/v1/tracks/136cNclvh1Gm1WSK34PyBz	https://api.spotify.com/v1/audio-analysis/136cNclvh1Gm1WSK34PyBz	222680.0	4.0		Sean
3694	Intersex	I'll Keep Running	spotify:track:5kFos1k7mBAe35ne9A1jyj	1	0.728	0.238	9.0	-15.738	0.0	0.0428	0.667	0.673	0.148	0.617	140.041	audio_features	5kFos1k7mBAe35ne9A1jyj	https://api.spotify.com/v1/tracks/5kFos1k7mBAe35ne9A1jyj	https://api.spotify.com/v1/audio-analysis/5kFos1k7mBAe35ne9A1jyj	197143.0	4.0		Sean
3695	Intersex	On My Mind	spotify:track:5mjcJ5q73qRc9VpsZ8mUmt	1	0.706	0.44	1.0	-12.042	1.0	0.0701	0.939	0.00311	0.13	0.232	139.847	audio_features	5mjcJ5q73qRc9VpsZ8mUmt	https://api.spotify.com/v1/tracks/5mjcJ5q73qRc9VpsZ8mUmt	https://api.spotify.com/v1/audio-analysis/5mjcJ5q73qRc9VpsZ8mUmt	186857.0	4.0		Sean
3696	Intersex	What I Know	spotify:track:5jrBo7EhQcpCoVg1cAyViR	1	0.555	0.579	10.0	-10.272	1.0	0.051	0.696	0.32	0.262	0.585	119.964	audio_features	5jrBo7EhQcpCoVg1cAyViR	https://api.spotify.com/v1/tracks/5jrBo7EhQcpCoVg1cAyViR	https://api.spotify.com/v1/audio-analysis/5jrBo7EhQcpCoVg1cAyViR	262000.0	4.0		Sean
3697	Ireland Boss	V6	spotify:track:7aBd8qMooFYZtQQwQJFAdX	2	0.657	0.323	8.0	-7.24	1.0	0.414	0.513	0.0113	0.0928	0.346	133.862	audio_features	7aBd8qMooFYZtQQwQJFAdX	https://api.spotify.com/v1/tracks/7aBd8qMooFYZtQQwQJFAdX	https://api.spotify.com/v1/audio-analysis/7aBd8qMooFYZtQQwQJFAdX	162667.0	5.0		Sean
