	artist_name	track_name	uri	num_listens	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	track_href	analysis_url	duration_ms	time_signature
1527	Flo Milli	Mood Everyday (Intro)	spotify:track:1ntusbeBPTG0OicSYm5a1e	18	0.803	0.475	6	-9.689	1	0.542	0.461	0.0026	0.148	0.813	79.991	audio_features	1ntusbeBPTG0OicSYm5a1e	https://api.spotify.com/v1/tracks/1ntusbeBPTG0OicSYm5a1e	https://api.spotify.com/v1/audio-analysis/1ntusbeBPTG0OicSYm5a1e	50750	4
1528	Flo Milli	Nasty Dancer	spotify:track:7itIhLBlKcpdaSqXRsSuW3	49	0.899	0.711	1	-4.388	1	0.139	0.0135	0	0.204	0.126	127.018	audio_features	7itIhLBlKcpdaSqXRsSuW3	https://api.spotify.com/v1/tracks/7itIhLBlKcpdaSqXRsSuW3	https://api.spotify.com/v1/audio-analysis/7itIhLBlKcpdaSqXRsSuW3	137931	4
1529	Flo Milli	Not Friendly	spotify:track:0Tb5CCa5fdrKzTT2wYCVxq	17	0.881	0.781	1	-4.932	1	0.184	0.0523	0	0.0928	0.659	139.977	audio_features	0Tb5CCa5fdrKzTT2wYCVxq	https://api.spotify.com/v1/tracks/0Tb5CCa5fdrKzTT2wYCVxq	https://api.spotify.com/v1/audio-analysis/0Tb5CCa5fdrKzTT2wYCVxq	234991	4
1530	Flo Milli	Not Friendly	spotify:track:2le8xbpMJ1aA0SpJZRMbRw	105	0.878	0.793	1	-4.744	1	0.188	0.0539	0	0.0934	0.656	139.99	audio_features	2le8xbpMJ1aA0SpJZRMbRw	https://api.spotify.com/v1/tracks/2le8xbpMJ1aA0SpJZRMbRw	https://api.spotify.com/v1/audio-analysis/2le8xbpMJ1aA0SpJZRMbRw	234991	4
1531	Flo Milli	PBC	spotify:track:4DDiIZDlRldzWuCp47TIhU	2	0.881	0.728	1	-4.479	1	0.109	0.0491	0.0522	0.0743	0.505	139.994	audio_features	4DDiIZDlRldzWuCp47TIhU	https://api.spotify.com/v1/tracks/4DDiIZDlRldzWuCp47TIhU	https://api.spotify.com/v1/audio-analysis/4DDiIZDlRldzWuCp47TIhU	154511	4
1532	Flo Milli	Pockets Bigger	spotify:track:6qwlA0caBeRjIlaqnucLrC	84	0.93	0.7	1	-4.279	0	0.277	0.0455	0	0.0993	0.823	117.075	audio_features	6qwlA0caBeRjIlaqnucLrC	https://api.spotify.com/v1/tracks/6qwlA0caBeRjIlaqnucLrC	https://api.spotify.com/v1/audio-analysis/6qwlA0caBeRjIlaqnucLrC	106763	4
1533	Flo Milli	Pussycat Doll	spotify:track:0rHCbvcGS3GkcU92lw0546	15	0.886	0.772	5	-5.497	0	0.177	0.228	0	0.0836	0.938	149.904	audio_features	0rHCbvcGS3GkcU92lw0546	https://api.spotify.com/v1/tracks/0rHCbvcGS3GkcU92lw0546	https://api.spotify.com/v1/audio-analysis/0rHCbvcGS3GkcU92lw0546	160000	4
1534	Flo Milli	Roaring 20s	spotify:track:5N4oNpf3YH76vNhXKc5usy	6	0.91	0.67	0	-7.115	1	0.392	0.266	6.85E-05	0.0452	0.786	137.101	audio_features	5N4oNpf3YH76vNhXKc5usy	https://api.spotify.com/v1/tracks/5N4oNpf3YH76vNhXKc5usy	https://api.spotify.com/v1/audio-analysis/5N4oNpf3YH76vNhXKc5usy	129145	4
1535	Flo Milli	Scuse Me	spotify:track:2jcZ0bbc2wLXiaBstKq2eJ	14	0.871	0.707	0	-3.817	1	0.278	0.372	0	0.11	0.678	140.088	audio_features	2jcZ0bbc2wLXiaBstKq2eJ	https://api.spotify.com/v1/tracks/2jcZ0bbc2wLXiaBstKq2eJ	https://api.spotify.com/v1/audio-analysis/2jcZ0bbc2wLXiaBstKq2eJ	164571	4
1536	Flo Milli	Send The Addy	spotify:track:3MGajKUU5qcEkGU9AQ2e2u	21	0.704	0.74	1	-4.193	1	0.415	0.116	0	0.0832	0.699	122.991	audio_features	3MGajKUU5qcEkGU9AQ2e2u	https://api.spotify.com/v1/tracks/3MGajKUU5qcEkGU9AQ2e2u	https://api.spotify.com/v1/audio-analysis/3MGajKUU5qcEkGU9AQ2e2u	132683	4
1537	Flo Milli	Weak	spotify:track:2eJ87on7uDqIvKobxuPpov	23	0.863	0.689	5	-4.18	0	0.0986	0.267	0	0.217	0.826	150.06	audio_features	2eJ87on7uDqIvKobxuPpov	https://api.spotify.com/v1/tracks/2eJ87on7uDqIvKobxuPpov	https://api.spotify.com/v1/audio-analysis/2eJ87on7uDqIvKobxuPpov	156074	4
1538	Flo Rida	Low (feat. T-Pain)	spotify:track:0CAfXk7DXMnon4gLudAp7J	91	0.918	0.609	10	-5.64	0	0.0791	0.0928	0	0.139	0.304	128.008	audio_features	0CAfXk7DXMnon4gLudAp7J	https://api.spotify.com/v1/tracks/0CAfXk7DXMnon4gLudAp7J	https://api.spotify.com/v1/audio-analysis/0CAfXk7DXMnon4gLudAp7J	231400	4
1539	Flo Rida	Right Round	spotify:track:3GpbwCm3YxiWDvy29Uo3vP	2	0.72	0.672	7	-6.852	1	0.0551	0.009	0	0.232	0.705	124.986	audio_features	3GpbwCm3YxiWDvy29Uo3vP	https://api.spotify.com/v1/tracks/3GpbwCm3YxiWDvy29Uo3vP	https://api.spotify.com/v1/audio-analysis/3GpbwCm3YxiWDvy29Uo3vP	204640	4
1540	Flo Rida	Sugar (feat. Wynter)	spotify:track:4shgvM4ClrZeDiflNJwlGd	3	0.738	0.868	1	-4.15	1	0.0348	0.0371	0	0.294	0.199	130.003	audio_features	4shgvM4ClrZeDiflNJwlGd	https://api.spotify.com/v1/tracks/4shgvM4ClrZeDiflNJwlGd	https://api.spotify.com/v1/audio-analysis/4shgvM4ClrZeDiflNJwlGd	252933	4
1541	Flo Rida	Wild Ones (feat. Sia)	spotify:track:1NpW5kyvO4XrNJ3rnfcNy3	4	0.608	0.86	5	-5.324	0	0.0554	0.0991	0	0.262	0.437	127.075	audio_features	1NpW5kyvO4XrNJ3rnfcNy3	https://api.spotify.com/v1/tracks/1NpW5kyvO4XrNJ3rnfcNy3	https://api.spotify.com/v1/audio-analysis/1NpW5kyvO4XrNJ3rnfcNy3	232947	4
1542	Florida Georgia Line	Cruise	spotify:track:0i5el041vd6nxrGEU8QRxy	26	0.457	0.948	10	-3.364	1	0.0354	0.0191	0	0.0536	0.878	148	audio_features	0i5el041vd6nxrGEU8QRxy	https://api.spotify.com/v1/tracks/0i5el041vd6nxrGEU8QRxy	https://api.spotify.com/v1/audio-analysis/0i5el041vd6nxrGEU8QRxy	208960	4
1543	Florida Georgia Line	H.O.L.Y.	spotify:track:0BCy325UZyR9z0t0uxwn2N	12	0.523	0.666	7	-4.081	0	0.0327	0.401	0	0.0728	0.564	78.077	audio_features	0BCy325UZyR9z0t0uxwn2N	https://api.spotify.com/v1/tracks/0BCy325UZyR9z0t0uxwn2N	https://api.spotify.com/v1/audio-analysis/0BCy325UZyR9z0t0uxwn2N	194187	4
1544	Florida Georgia Line	H.O.L.Y.	spotify:track:2tUJbvjNznjNZfCeKtkhGm	20	0.523	0.666	7	-4.081	0	0.0328	0.401	0	0.0726	0.562	78.075	audio_features	2tUJbvjNznjNZfCeKtkhGm	https://api.spotify.com/v1/tracks/2tUJbvjNznjNZfCeKtkhGm	https://api.spotify.com/v1/audio-analysis/2tUJbvjNznjNZfCeKtkhGm	194760	4
1545	Florida Georgia Line	Smooth	spotify:track:31x4wWBghN7f5PiEZUmcAW	2	0.477	0.848	6	-5.419	1	0.0558	0.286	4.77E-05	0.673	0.33	161.014	audio_features	31x4wWBghN7f5PiEZUmcAW	https://api.spotify.com/v1/tracks/31x4wWBghN7f5PiEZUmcAW	https://api.spotify.com/v1/audio-analysis/31x4wWBghN7f5PiEZUmcAW	170200	4
1546	Flozigg	July	spotify:track:4YlILE2n0WAW8ZIQdutoOx	75	0.882	0.371	10	-9.393	0	0.0502	0.215	0.000618	0.0747	0.796	101.038	audio_features	4YlILE2n0WAW8ZIQdutoOx	https://api.spotify.com/v1/tracks/4YlILE2n0WAW8ZIQdutoOx	https://api.spotify.com/v1/audio-analysis/4YlILE2n0WAW8ZIQdutoOx	178954	4
1547	Flozigg	MUTUAL	spotify:track:34dEWnWlThEqkHiASAy0ks	94	0.731	0.455	6	-6.499	0	0.175	0.479	0	0.0888	0.828	130.113	audio_features	34dEWnWlThEqkHiASAy0ks	https://api.spotify.com/v1/tracks/34dEWnWlThEqkHiASAy0ks	https://api.spotify.com/v1/audio-analysis/34dEWnWlThEqkHiASAy0ks	169846	4
1548	Flume	Never Be Like You (feat. Kai)	spotify:track:5WI2ltQIdwgzf1SNE76JyR	126	0.444	0.557	0	-5.476	1	0.0602	0.453	0	0.152	0.296	115.058	audio_features	5WI2ltQIdwgzf1SNE76JyR	https://api.spotify.com/v1/tracks/5WI2ltQIdwgzf1SNE76JyR	https://api.spotify.com/v1/audio-analysis/5WI2ltQIdwgzf1SNE76JyR	234910	4
1549	Flwr Chyld	Morning Dew	spotify:track:47x551ZVn0hgo3zjHs6MN2	33	0.841	0.373	1	-10.772	1	0.12	0.0331	0.887	0.112	0.824	124.012	audio_features	47x551ZVn0hgo3zjHs6MN2	https://api.spotify.com/v1/tracks/47x551ZVn0hgo3zjHs6MN2	https://api.spotify.com/v1/audio-analysis/47x551ZVn0hgo3zjHs6MN2	81000	1
1550	Foogiano	BACKEND (feat. Gucci Mane & Jacquees)	spotify:track:7eEU909QFiAuzQGgg4wTeP	97	0.852	0.687	1	-5.957	1	0.107	0.0918	0	0.0965	0.447	119.977	audio_features	7eEU909QFiAuzQGgg4wTeP	https://api.spotify.com/v1/tracks/7eEU909QFiAuzQGgg4wTeP	https://api.spotify.com/v1/audio-analysis/7eEU909QFiAuzQGgg4wTeP	185064	4
1551	Foreigner	Feels Like The First Time	spotify:track:2x06OTxUcGUvUwacut640P	29	0.52	0.828	7	-5.306	1	0.0355	0.000758	2.03E-06	0.136	0.593	107.722	audio_features	2x06OTxUcGUvUwacut640P	https://api.spotify.com/v1/tracks/2x06OTxUcGUvUwacut640P	https://api.spotify.com/v1/audio-analysis/2x06OTxUcGUvUwacut640P	247000	4
1552	Forest Sounds	Forest Sounds	spotify:track:2yJ2GMYYB8T31TtmNZWEvj	2	0.41	0.239	6	-24.884	0	0.0737	0.292	0.837	0.103	0.268	123.459	audio_features	2yJ2GMYYB8T31TtmNZWEvj	https://api.spotify.com/v1/tracks/2yJ2GMYYB8T31TtmNZWEvj	https://api.spotify.com/v1/audio-analysis/2yJ2GMYYB8T31TtmNZWEvj	221854	3
1553	Foster The People	Pumped Up Kicks	spotify:track:7w87IxuO7BDcJ3YUqCyMTT	3	0.733	0.71	5	-5.849	0	0.0292	0.145	0.115	0.0956	0.965	127.975	audio_features	7w87IxuO7BDcJ3YUqCyMTT	https://api.spotify.com/v1/tracks/7w87IxuO7BDcJ3YUqCyMTT	https://api.spotify.com/v1/audio-analysis/7w87IxuO7BDcJ3YUqCyMTT	239600	4
1554	Foudeqush	Con La Brisa	spotify:track:2LSsSV7V33wM9EKQA2xjGS	27	0.608	0.429	2	-10.336	0	0.0316	0.47	0.245	0.129	0.242	113.818	audio_features	2LSsSV7V33wM9EKQA2xjGS	https://api.spotify.com/v1/tracks/2LSsSV7V33wM9EKQA2xjGS	https://api.spotify.com/v1/audio-analysis/2LSsSV7V33wM9EKQA2xjGS	167387	4
1555	Francesca Battistelli	Defender	spotify:track:3VHNtJNVPazkHGpeGgpoOd	3	0.345	0.377	7	-7.715	1	0.0292	0.219	5.51E-06	0.0549	0.0767	139.798	audio_features	3VHNtJNVPazkHGpeGgpoOd	https://api.spotify.com/v1/tracks/3VHNtJNVPazkHGpeGgpoOd	https://api.spotify.com/v1/audio-analysis/3VHNtJNVPazkHGpeGgpoOd	424373	4
1556	Frank Ocean	Biking	spotify:track:2q0VexHJirnUPnEOhr2DxK	3	0.673	0.463	2	-7.247	1	0.191	0.681	4.90E-06	0.0907	0.268	147.981	audio_features	2q0VexHJirnUPnEOhr2DxK	https://api.spotify.com/v1/tracks/2q0VexHJirnUPnEOhr2DxK	https://api.spotify.com/v1/audio-analysis/2q0VexHJirnUPnEOhr2DxK	277521	4
1557	Frank Ocean	Chanel	spotify:track:6Nle9hKrkL1wQpwNfEkxjh	84	0.776	0.503	0	-5.732	0	0.237	0.874	0	0.112	0.473	110.134	audio_features	6Nle9hKrkL1wQpwNfEkxjh	https://api.spotify.com/v1/tracks/6Nle9hKrkL1wQpwNfEkxjh	https://api.spotify.com/v1/audio-analysis/6Nle9hKrkL1wQpwNfEkxjh	210285	4
1558	Frank Ocean	Ivy	spotify:track:2ZWlPOoWh0626oTaHrnl2a	13	0.575	0.386	9	-9.584	0	0.037	0.785	0.000289	0.229	0.466	116.408	audio_features	2ZWlPOoWh0626oTaHrnl2a	https://api.spotify.com/v1/tracks/2ZWlPOoWh0626oTaHrnl2a	https://api.spotify.com/v1/audio-analysis/2ZWlPOoWh0626oTaHrnl2a	249191	4
